,hid,roomName,bedType,capacity,rackPrice,price,breakfast,features
2,534,Corner Suite,,2,"THB 19,125","THB 19,125",Good breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,50 m²; City view; Flat-screen TV; Air conditioning; Soundproof; Bathtub; Private bathroom; Free WiFi; Telephone; Satellite channels; Safe; Iron; Sitting area; Sofa; Wardrobe or closet; Hairdryer; Bathrobe; Free toiletries; Toilet; Slippers; Bidet; Minibar; Refrigerator; Wake-up service; Executive Lounge Access; Towels; More
3,534,Corner Suite,,2,"THB 25,500","THB 25,500","Good breakfast included; FREE cancellation; before 11:59 PM on February 27, 2019; NO PREPAYMENT NEEDED – pay at the property",50 m²; City view; Flat-screen TV; Air conditioning; Soundproof; Bathtub; Private bathroom; Free WiFi; Telephone; Satellite channels; Safe; Iron; Sitting area; Sofa; Wardrobe or closet; Hairdryer; Bathrobe; Free toiletries; Toilet; Slippers; Bidet; Minibar; Refrigerator; Wake-up service; Executive Lounge Access; Towels; More
4,534,Neo Suite,,2,"THB 19,500","THB 19,500",Good breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,45 m²; City view; Flat-screen TV; Air conditioning; Soundproof; Bathtub; Private bathroom; Free WiFi; Telephone; Satellite channels; Safe; Iron; Sitting area; Sofa; Wardrobe or closet; Hairdryer; Bathrobe; Free toiletries; Toilet; Slippers; Bidet; Minibar; Refrigerator; Wake-up service; Executive Lounge Access; Towels; More
5,534,Neo Suite,,2,"THB 26,000","THB 26,000","Good breakfast included; FREE cancellation; before 11:59 PM on February 27, 2019; NO PREPAYMENT NEEDED – pay at the property",45 m²; City view; Flat-screen TV; Air conditioning; Soundproof; Bathtub; Private bathroom; Free WiFi; Telephone; Satellite channels; Safe; Iron; Sitting area; Sofa; Wardrobe or closet; Hairdryer; Bathrobe; Free toiletries; Toilet; Slippers; Bidet; Minibar; Refrigerator; Wake-up service; Executive Lounge Access; Towels; More
0,535,Superior Double or Twin Room,Select your bed (if available); 2 twin beds; 1 full bed,2,"THB 1,050","THB 1,050",Non-refundable,Patio; Air conditioning; Attached bathroom; Free WiFi; Balcony; TV; Telephone; Satellite channels; Cable channels; Mosquito net; Shower; Free toiletries; Toilet; Toilet paper; Tea/Coffee maker; Electric kettle; Wake-up service; Towels; Toilet with grab rails; Roll-in shower; Shower chair
1,535,Superior Double or Twin Room,Select your bed (if available); 2 twin beds; 1 full bed,2,"THB 1,250","THB 1,250",Non-refundable,Patio; Air conditioning; Attached bathroom; Free WiFi; Balcony; TV; Telephone; Satellite channels; Cable channels; Mosquito net; Shower; Free toiletries; Toilet; Toilet paper; Tea/Coffee maker; Electric kettle; Wake-up service; Towels; Toilet with grab rails; Roll-in shower; Shower chair
2,535,Deluxe Double Room,1 full bed,2,"THB 1,250","THB 1,250",Non-refundable,28 m²; City view; Flat-screen TV; Air conditioning; Bathtub; Attached bathroom; Free WiFi; View; TV; Telephone; Satellite channels; Cable channels; Sitting area; Mosquito net; Free toiletries; Toilet; Bathtub or shower; Toilet paper; Tea/Coffee maker; Refrigerator; Electric kettle; Wake-up service; Towels; More
3,535,Deluxe Double Room,1 full bed,2,"THB 1,650","THB 1,650",Non-refundable,28 m²; City view; Flat-screen TV; Air conditioning; Bathtub; Attached bathroom; Free WiFi; View; TV; Telephone; Satellite channels; Cable channels; Sitting area; Mosquito net; Free toiletries; Toilet; Bathtub or shower; Toilet paper; Tea/Coffee maker; Refrigerator; Electric kettle; Wake-up service; Towels; More
4,535,Deluxe Triple Room,1 twin bed; and; 1 full bed,3,"THB 1,650","THB 1,650",Non-refundable,38 m²; City view; Air conditioning; Bathtub; Attached bathroom; Free WiFi; View; TV; Telephone; Cable channels; Sitting area; Mosquito net; Free toiletries; Toilet; Bathtub or shower; Toilet paper; Tea/Coffee maker; Refrigerator; Electric kettle; Wake-up service; Towels; More
0,536,Deluxe Double Room,1 queen bed,2,"THB 4,000","THB 4,000",Very good breakfast included; Non-refundable,Air conditioning; Attached bathroom; Flat-screen TV; Free WiFi; Tea/Coffee maker; Shower; Safe; TV; Telephone; Hairdryer; Bathrobe; Refrigerator; Free toiletries; DVD Player; Toilet; Microwave; Slippers; Satellite channels; Bathtub or shower; Laptop safe; Tile/Marble floor; Wake-up service; Electric kettle; Executive Lounge Access; Cleaning products; Towels; Linens; Toilet paper
