,hotel_id_in_our_database,hotel_name,hotel_location,hotel_star,hotel_property_highlights,hotel_location_rating,hotel_location_level,hotel_nearby_place_distance,hotel_popular_place_distance
0,0,Novotel Bangkok Sukhumvit 4,"27 Sukhumvit 4 Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",4.0,280 meters to public transportation &&Airport transfer &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&,8.0,Excellent,"['Nana Fashions && 60 m', 'R and R Apparel International && 110 m', 'Sin Bar && 160 m', ""Nickermann's Tailors && 190 m"", ""Raja's Fashions && 190 m"", 'Embassy of Sweden && 240 m', 'Rajawongse Clothier && 280 m', 'Paul Bespoke && 280 m', 'Nana BTS Station && 280 m', 'Nana District && 290 m']","['Terminal 21 Shopping Mall && 820 m', 'Central World && 1.65 km', 'Jim Thompson && 2.88 km', 'Yaowarat Road && 4.69 km', 'Wat Saket && 5.26 km', 'Khao San Road && 6.33 km', 'Wat Pho Temple && 6.56 km', 'Asiatique - The Riverfront && 6.65 km', 'Wat Phra Kaew && 6.7 km', 'Grand Palace && 6.76 km']"
1,1,Solitaire Bangkok Sukhumvit 11,"75/23 Soi Sukhumvit 13 Sukhumvit Road, Klongtoey-Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",4.5,570 meters to public transportation &&Airport transfer &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&,8.0,Excellent,"['Twisted Republic && 160 m', 'Ambassador Hotel Fitness Centre && 250 m', 'Cheap Charlie’s && 300 m', 'Wattana Wittaya\xa0Academy && 330 m', 'Best Tailor && 350 m', 'Buathip Thai Massage && 390 m', 'Nest Rooftop Bar && 390 m', 'Patrick&Co && 420 m', 'Embassy of Syria && 430 m', ""Nick's International Boutique House && 450 m""]","['Terminal 21 Shopping Mall && 910 m', 'Central World && 1.97 km', 'Jim Thompson && 3.18 km', 'Yaowarat Road && 5.2 km', 'Wat Saket && 5.58 km', 'Khao San Road && 6.61 km', 'Wat Pho Temple && 7 km', 'Wat Phra Kaew && 7.1 km', 'Grand Palace && 7.15 km', 'Asiatique - The Riverfront && 7.43 km']"
2,2,Nasa Vegas Hotel,"44 Sukhumvit 71-Ramkhamhaeng Road, Suanluang (Airport Link - Ramkhamhaeng Station), Ratchadaphisek, Bangkok, Thailand, 10250",3.0,170 meters to public transportation &&Free Wi-Fi in all rooms!&&Mini bar&&Daily housekeeping&&,7.8,Very good,"['Airport Rail Link Ramkhamhaeng Station && 170 m', 'Klong Tan Pier && 410 m', 'Dr Panya Hospital && 610 m', 'Khlongtun Hospital && 810 m', 'Central Plaza Grand Rama 9 && 1.02 km', 'Seri Market && 1.09 km', 'Embassy of Bangladesh && 1.21 km', 'Rama XI Marsh && 1.29 km', 'Chan Issara Pier && 1.45 km', 'Phanphirom Park && 1.46 km']","['Terminal 21 Shopping Mall && 4.52 km', 'Central World && 6.77 km', 'Jim Thompson && 7.97 km', 'Yaowarat Road && 9.96 km', 'Wat Saket && 10.36 km', 'Khao San Road && 11.37 km', 'Asiatique - The Riverfront && 11.49 km', 'Wat Pho Temple && 11.79 km', 'Wat Phra Kaew && 11.9 km', 'Grand Palace && 11.94 km']"
3,3,Narra hotel,"Soi Chang Watthana 13, Don Mueang International Airport, Bangkok, Thailand, 10210",3.5,Free Wi-Fi in all rooms!&&Daily housekeeping&&Elevator&&Air conditioning&&,8.4,Excellent,"['Government Complex && 640 m', 'Ámantee && 710 m', 'Parso Driving range && 1.92 km', 'Thailand Post && 2.18 km', 'TOT Public Company Limited && 2.18 km', 'Asian Pacific Postal Union Bureau (APPU) && 2.18 km', 'Department of Consular Affairs && 2.18 km', 'Administrative Court && 2.18 km', 'Immigration 1 Division && 2.18 km', 'IT Square && 2.28 km']","['Jim Thompson && 16.28 km', 'Khao San Road && 16.37 km', 'Central World && 16.42 km', 'Wat Saket && 16.48 km', 'Terminal 21 Shopping Mall && 17.16 km', 'Grand Palace && 17.48 km', 'Wat Phra Kaew && 17.52 km', 'Yaowarat Road && 17.76 km', 'Wat Pho Temple && 17.83 km', 'Asiatique - The Riverfront && 21.84 km']"
4,4,The Berkeley Hotel Pratunam,"559 Ratchathewi, Pratunam, Bangkok, Thailand, 10400",5.0,490 meters to public transportation &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&Blackout curtains&&,8.7,Excellent,"['Pratunum Market && 50 m', 'Palladium Square Shopping Mall && 70 m', 'Trimurti Shrine && 140 m', 'Pratunam Pier && 140 m', 'Papaya Furniture && 150 m', ""Paul's Fashion && 170 m"", 'Royal Asia Boutique && 170 m', 'Pratunam Center && 190 m', 'Platinum Fashion Mall && 210 m', 'Newman Exclusive Tailor && 230 m']","['Central World && 580 m', 'Jim Thompson && 1.48 km', 'Terminal 21 Shopping Mall && 2.45 km', 'Yaowarat Road && 3.66 km', 'Wat Saket && 3.84 km', 'Khao San Road && 4.86 km', 'Wat Pho Temple && 5.34 km', 'Wat Phra Kaew && 5.41 km', 'Grand Palace && 5.45 km', 'Asiatique - The Riverfront && 6.64 km']"
5,5,Grande Centre Point Hotel Ratchadamri,"153/2 Soi Mahatlekluang 1, Ratchadamri Road, Lumpini, Pathumwan, Siam, Bangkok, Thailand, 10330",5.0,260 meters to public transportation &&Airport transfer &&Free Wi-Fi in all rooms!&&Sauna&&,8.9,Excellent,"['Peninsula Tailors Bangkok && 40 m', 'Peninsula Plaza && 50 m', 'Royal Maneeya Tower && 140 m', 'Amarin Tower && 150 m', 'RJ Uomo && 230 m', 'Absolute Yoga && 250 m', 'Ratchadamri BTS Station && 260 m', 'Ratchaprasong Intersection Shrines && 260 m', 'Diora Bangkok Langsuan Spa && 270 m', 'Amarin Plaza && 270 m']","['Central World && 470 m', 'Jim Thompson && 1.58 km', 'Terminal 21 Shopping Mall && 2.17 km', 'Yaowarat Road && 3.37 km', 'Wat Saket && 3.93 km', 'Khao San Road && 5 km', 'Wat Pho Temple && 5.22 km', 'Wat Phra Kaew && 5.36 km', 'Grand Palace && 5.41 km', 'Asiatique - The Riverfront && 5.85 km']"
6,6,Great Residence Suvarnabhumi Hotel,"1892/1-3 Lat Krabang District, Lat Krabang, Suvarnabhumi Airport, Bangkok, Thailand, 10520",3.0,Airport transfer &&Free Wi-Fi in all rooms!&&Balcony/terrace&&Mini bar&&,7.9,Very good,"['Lat Krabang Hospital && 1.1 km', 'Wat Plooksattha && 1.36 km', 'Jarakaenoi Police station && 1.64 km', 'Lady of Loundes Catholic Church && 2.12 km', 'Wat Polmanee && 2.48 km', 'Wat Latkrabang && 2.71 km', 'Krua Rabieng Nam Restaurant && 2.81 km', 'Suvarnabhumi Bangkok College && 2.94 km', 'Ladkrabang Railway Station && 3.22 km', 'Airport Rail Link Ladkrabang && 3.22 km']","['Terminal 21 Shopping Mall && 23.41 km', 'Central World && 25.79 km', 'Jim Thompson && 27.01 km', 'Yaowarat Road && 28.9 km', 'Wat Saket && 29.4 km', 'Asiatique - The Riverfront && 29.49 km', 'Khao San Road && 30.42 km', 'Wat Pho Temple && 30.79 km', 'Wat Phra Kaew && 30.92 km', 'Grand Palace && 30.97 km']"
7,7,Baan Mek Mok,"306 Soi Pongvetanusorn 2 Sukhumvit 64, Bangchak, Phra Khanong, Bangkok, 10260, THA, Baan Mek Mok, Sukhumvit, Bangkok, Thailand, 10260",3.0,500 meters to public transportation &&Free Wi-Fi in all rooms!&&Blackout curtains&&Balcony/terrace&&,6.7,Good,"['Punnawithi BTS Station && 500 m', 'Bangchak BTS Station && 650 m', 'Siam Paradise Night Bazar && 850 m', '101 The Third Place && 850 m', 'The Orthodox St.Nicolas Church && 1 km', 'Asia Herb Association - Phrom Phong Shop && 1.03 km', 'Tokai Surgery Clinic && 1.09 km', 'On Nut Market && 1.17 km', 'Udom Suk BTS Station && 1.22 km', 'Dhammamongkol Temple && 1.37 km']","['Terminal 21 Shopping Mall && 7.11 km', 'Central World && 9.4 km', 'Jim Thompson && 10.54 km', 'Asiatique - The Riverfront && 11.05 km', 'Yaowarat Road && 11.7 km', 'Wat Saket && 12.74 km', 'Wat Pho Temple && 13.62 km', 'Khao San Road && 13.83 km', 'Wat Phra Kaew && 13.88 km', 'Grand Palace && 13.94 km']"
8,8,The Bedroom Ladprao 101,"99 Soi Ladprao 101 Ladprao Road Klongchan, Bangkapi Bangkok, Bang Kapi, Bangkok, Thailand, 10240",4.0,Airport transfer &&Free Wi-Fi in all rooms!&&Breakfast [free]&&Balcony/terrace&&,6.9,Good,"['Foodland Lard Prao && 1.27 km', 'Vejthani Hospital && 1.8 km', 'Imperial World Lard Prao && 2.03 km', 'Dr Somchai Clinic && 2.46 km', 'Crystal Design Center && 2.5 km', 'Tawanna Plaza && 2.51 km', 'N Mark Plaza && 2.52 km', 'Major Cineplex Bangkapi && 2.53 km', 'Raan Bai Mai && 2.58 km', 'Nawamin Phirom Park && 2.63 km']","['Terminal 21 Shopping Mall && 9.44 km', 'Central World && 10.95 km', 'Jim Thompson && 11.89 km', 'Wat Saket && 13.96 km', 'Yaowarat Road && 14.12 km', 'Khao San Road && 14.75 km', 'Wat Phra Kaew && 15.6 km', 'Grand Palace && 15.63 km', 'Wat Pho Temple && 15.63 km', 'Asiatique - The Riverfront && 16.63 km']"
9,9,Aspira Grand Regency Sukhumvit 22,"12/3, Soi Sukhumvit 22, Sukhumvit, Bangkok, Thailand, 10110",4.0,520 meters to public transportation &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&Mini bar&&,7.7,Very good,"['Gallery F-Stop && 140 m', 'Mambo Cabaret && 140 m', ""Stylo's Collection && 170 m"", 'Damanino Bespoke && 180 m', 'De Fabiano Bespoke Tailors && 190 m', 'Fiorenzo Tailor && 220 m', 'Subhashok The Arts Centre (S.A.C.) && 250 m', 'Jass Fashions && 250 m', 'Villa Market Sukhumvit && 270 m', 'Dptailors && 290 m']","['Terminal 21 Shopping Mall && 780 m', 'Central World && 3.18 km', 'Jim Thompson && 4.39 km', 'Yaowarat Road && 6.05 km', 'Wat Saket && 6.75 km', 'Asiatique - The Riverfront && 7.35 km', 'Khao San Road && 7.83 km', 'Wat Pho Temple && 7.97 km', 'Wat Phra Kaew && 8.14 km', 'Grand Palace && 8.19 km']"
10,10,SC Park Hotel,"474 Praditmanutham Road, Wangthonglang, Ratchadaphisek, Bangkok, Thailand, 10310",4.0,Free Wi-Fi in all rooms!&&Sauna&&Steamroom&&Mini bar&&,7.6,Very good,"['Embassy of Cambodia && 760 m', 'Embassy of Laos && 820 m', 'Ramkhamhaeng 29 Pier && 1.41 km', 'Wat Thepleela Pier && 1.42 km', 'The Mall 3 Pier && 1.53 km', 'Rama XI Marsh && 1.54 km', 'Ramkhamhaeng University Pier && 1.76 km', 'Tadu Contemporary Art && 1.97 km', 'Ramkhamhaeng University && 2 km', 'Central Plaza Grand Rama 9 && 2.13 km']","['Terminal 21 Shopping Mall && 5.72 km', 'Central World && 7.33 km', 'Jim Thompson && 8.36 km', 'Wat Saket && 10.55 km', 'Yaowarat Road && 10.56 km', 'Khao San Road && 11.44 km', 'Wat Pho Temple && 12.17 km', 'Wat Phra Kaew && 12.19 km', 'Grand Palace && 12.22 km', 'Asiatique - The Riverfront && 12.91 km']"
11,12,Montien Riverside Hotel,"372 Rama 3 Road Bangkhlo, Sathorn, Bangkok, Thailand, 10120",4.5,Airport transfer &&Free Wi-Fi in all rooms!&&Sauna&&Steamroom&&,7.3,Very good,"['Ruan Chao Phraya Restaurant && 240 m', 'Baan Klang Nam Restaurant && 620 m', 'Rajburana Pier && 910 m', 'Pariwat Temple && 1.4 km', 'Wat Chanyawat && 1.48 km', 'Asiatique - The Riverfront && 1.76 km', 'Calypso Cabaret && 1.76 km', 'Wat Rajsingkorn Pier && 2.04 km', 'Rama III Bridge && 2.25 km', 'Wat Worachanyawas Pier && 2.29 km']","['Asiatique - The Riverfront && 1.76 km', 'Yaowarat Road && 5.78 km', 'Wat Pho Temple && 6.63 km', 'Wat Phra Kaew && 7.03 km', 'Jim Thompson && 7.1 km', 'Grand Palace && 7.1 km', 'Central World && 7.22 km', 'Wat Saket && 7.26 km', 'Khao San Road && 7.86 km', 'Terminal 21 Shopping Mall && 7.87 km']"
12,13,Dusit Thani Bangkok Hotel,"946 Rama Iv Road , Silom, Bangkok, Thailand, 10500",5.0,290 meters to public transportation &&Airport transfer &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&,9.2,Exceptional,"['July Tailor && 150 m', 'King Rama 6 Monument && 170 m', 'Orchid Press && 180 m', 'Vino di Zanotti && 210 m', 'Silom Complex && 210 m', 'Silom Business Area && 240 m', 'Abdulhrahim Building && 240 m', 'U Chu Liang Building && 240 m', 'G.O.D. (Guys on Display) && 250 m', ""O'Reilly's && 270 m""]","['Central World && 1.92 km', 'Jim Thompson && 2.44 km', 'Terminal 21 Shopping Mall && 2.73 km', 'Yaowarat Road && 3.21 km', 'Wat Saket && 4.29 km', 'Asiatique - The Riverfront && 4.54 km', 'Wat Pho Temple && 5.14 km', 'Khao San Road && 5.35 km', 'Wat Phra Kaew && 5.38 km', 'Grand Palace && 5.45 km']"
13,14,Metro Resort Pratunam,"599 Soi Petchaburi 13,
Petchaburi Road, Ratchathevee,, Pratunam, Bangkok, Thailand, 10400",4.0,420 meters to public transportation &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&Mini bar&&,8.0,Excellent,"['Krung Thong Plaza && 70 m', 'Express Tailor && 240 m', 'Pantip Plaza IT Mall && 260 m', 'Pantip Plaza && 280 m', 'Grand Diamond Plaza && 390 m', 'Ratchathewi BTS Station && 420 m', 'Phayathai Plaza && 430 m', 'Queen Savang Vadhana Museum && 490 m', 'Embassy of Indonesia && 500 m', 'Airport Rail Link Phayathai Station && 510 m']","['Central World && 810 m', 'Jim Thompson && 830 m', 'Yaowarat Road && 3.07 km', 'Wat Saket && 3.11 km', 'Terminal 21 Shopping Mall && 3.15 km', 'Khao San Road && 4.12 km', 'Wat Pho Temple && 4.65 km', 'Wat Phra Kaew && 4.7 km', 'Grand Palace && 4.74 km', 'Asiatique - The Riverfront && 6.38 km']"
14,15,Coco Hotel,"797 M.9 Soi Bearing66 Sukhumvit 107, Bang Na, Bangkok, Thailand",3.5,Airport transfer &&Free Wi-Fi in all rooms!&&Blackout curtains&&Balcony/terrace&&,7.6,Very good,"['JAS Urban Srinakarin && 1.23 km', ""Lasalle's Avenue && 1.47 km"", 'Sikarin Hospital && 1.75 km', 'Bangkok Patana International School && 1.91 km', 'Thai Nakarin Hospital && 2.48 km', 'Central Plaza Bangna && 2.49 km', 'Twin Lotus Hospital && 2.86 km', 'Wat Sri Iam Temple && 3 km', 'BITEC Bang Na && 3.41 km', 'Berkeley International School && 3.45 km']","['Terminal 21 Shopping Mall && 12.68 km', 'Central World && 14.86 km', 'Asiatique - The Riverfront && 15.23 km', 'Jim Thompson && 15.94 km', 'Yaowarat Road && 16.8 km', 'Wat Saket && 18 km', 'Wat Pho Temple && 18.65 km', 'Wat Phra Kaew && 18.95 km', 'Grand Palace && 19.02 km', 'Khao San Road && 19.06 km']"
15,16,Tongpoon Hotel,"130 Param 6 Soi 8( rongmuang soi 4), Siam, Bangkok, Thailand, 10330",2.0,800 meters to public transportation &&Free Wi-Fi in all rooms!&&Daily housekeeping&&Elevator&&,7.1,Very good,"['First Fashion Gallery Co, ltd && 170 m', 'Thai Square Fashion && 230 m', 'Wat Borommaniwat Ratchaworawiharn && 340 m', 'Tesco Lotus Rama I && 410 m', 'Ad Makers && 430 m', 'Wat Mai Yai Pan && 440 m', 'Makro Charansanitwongse && 440 m', 'Bangkoknoi Metropolitan Waterworks && 440 m', 'Bangkok Navy Base && 440 m', 'Wat Ruaksuttharam && 440 m']","['Jim Thompson && 840 m', 'Yaowarat Road && 1.4 km', 'Wat Saket && 1.75 km', 'Central World && 1.97 km', 'Khao San Road && 2.84 km', 'Wat Pho Temple && 3.06 km', 'Wat Phra Kaew && 3.17 km', 'Grand Palace && 3.22 km', 'Terminal 21 Shopping Mall && 4.37 km', 'Asiatique - The Riverfront && 5.11 km']"
16,17,Bangkok City Suite,"1 Petchburi Road, Ratchathewi, Siam, Bangkok, Thailand, 10400",3.0,Free Wi-Fi in all rooms!&&Daily housekeeping&&Elevator&&Air conditioning&&,7.1,Very good,"['Nang Loeng Market && 340 m', 'Wat Phakhineenad Voravihara && 420 m', 'Wat Borwora Mongkol && 420 m', 'Wat Noinanghong && 420 m', 'Tang Hua Seng && 420 m', 'Wat Karuhabodee && 420 m', 'King Rama 8 Bridge Park && 420 m', 'Eye Ear Nose Throat Hospital && 420 m', 'Pata deparment store && 420 m', 'Major Cineplex Pin Klao && 420 m']","['Jim Thompson && 1.12 km', 'Wat Saket && 1.67 km', 'Yaowarat Road && 2.25 km', 'Central World && 2.25 km', 'Khao San Road && 2.59 km', 'Wat Phra Kaew && 3.32 km', 'Grand Palace && 3.35 km', 'Wat Pho Temple && 3.35 km', 'Terminal 21 Shopping Mall && 4.7 km', 'Asiatique - The Riverfront && 6.23 km']"
17,18,Romance Hotel Bangna,"19 Soi Srinakarin56, Srinakarin Rd., Nongbon, Pravate, Bang Na, Bangkok, Thailand, 10250",3.5,Free Wi-Fi in all rooms!&&Blackout curtains&&Balcony/terrace&&Daily housekeeping&&,7.3,Very good,"['Paradise Park && 860 m', 'Thai Nakarin Hospital && 1 km', 'Central Plaza Bangna && 1.22 km', 'Paradise Park Mall && 1.37 km', 'Twin Lotus Hospital && 1.46 km', 'Haha Mall && 1.63 km', 'Seacon Square && 2.1 km', 'Train Night Market Srinakarin && 2.31 km', 'Miss Violet Vintage Shop && 2.36 km', 'Sikarin Hospital && 2.43 km']","['Terminal 21 Shopping Mall && 11.26 km', 'Central World && 13.66 km', 'Jim Thompson && 14.84 km', 'Asiatique - The Riverfront && 15.41 km', 'Yaowarat Road && 16.11 km', 'Wat Saket && 17.11 km', 'Wat Pho Temple && 18.04 km', 'Khao San Road && 18.19 km', 'Wat Phra Kaew && 18.29 km', 'Grand Palace && 18.36 km']"
18,19,Dynasty Grande Hotel,"21 Soi Sukhumvit 6 (Soi Nana), Sukhumvit Rd., Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",4.0,250 meters to public transportation &&Airport transfer &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&,8.7,Excellent,"['Nana Fashions && 30 m', 'R and R Apparel International && 70 m', ""Nickermann's Tailors && 210 m"", 'Sin Bar && 230 m', 'Embassy of Sweden && 230 m', ""Raja's Fashions && 240 m"", 'Nana BTS Station && 250 m', 'La Moda && 250 m', ""Tom's Fashion && 260 m"", 'New Armani && 260 m']","['Terminal 21 Shopping Mall && 740 m', 'Central World && 1.74 km', 'Jim Thompson && 2.97 km', 'Yaowarat Road && 4.76 km', 'Wat Saket && 5.35 km', 'Khao San Road && 6.42 km', 'Wat Pho Temple && 6.64 km', 'Asiatique - The Riverfront && 6.69 km', 'Wat Phra Kaew && 6.78 km', 'Grand Palace && 6.84 km']"
19,20,Studio Sukhumvit 18 by iCheck inn,"106 Sukhumvit 18 Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",2.0,740 meters to public transportation &&Airport transfer &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&,7.3,Very good,"['Consulate of Tunisia && 160 m', 'Gallery F-Stop && 170 m', 'Embassy of Spain && 270 m', 'Embassy of Chile && 280 m', 'Dptailors && 310 m', 'Damanino Bespoke && 410 m', 'De Fabiano Bespoke Tailors && 420 m', ""Stylo's Collection && 430 m"", 'Mambo Cabaret && 440 m', 'Adorable Mine Shop && 450 m']","['Terminal 21 Shopping Mall && 800 m', 'Central World && 3.03 km', 'Jim Thompson && 4.23 km', 'Yaowarat Road && 5.82 km', 'Wat Saket && 6.57 km', 'Asiatique - The Riverfront && 7.04 km', 'Khao San Road && 7.65 km', 'Wat Pho Temple && 7.74 km', 'Wat Phra Kaew && 7.92 km', 'Grand Palace && 7.98 km']"
20,21,Amari Don Muang Airport Bangkok Hotel,"333 Moo 10, Chert Wudthakas Road, Srikan, Don Mueang International Airport, Bangkok, Thailand",4.0,Free Wi-Fi in all rooms!&&Mini bar&&Garden&&Room service [24-hour]&&,9.0,Exceptional,"['Don Mueang International Airport && 210 m', 'Wat Don Mueang- Phra Arramluang && 490 m', 'Harrow International School && 2.29 km', 'Tesco Lotus Chaeng Wattana && 3.07 km', 'The Avenue Chaengwattana && 3.07 km', 'Mongkut Wattana Hospital && 3.07 km', 'Wat Lak Si && 3.07 km', 'Big C Chaeng Wattana && 3.08 km', 'IT Square && 3.08 km', 'Central General Hospital && 3.61 km']","['Central World && 20.57 km', 'Jim Thompson && 20.64 km', 'Terminal 21 Shopping Mall && 20.86 km', 'Wat Saket && 21.17 km', 'Khao San Road && 21.19 km', 'Grand Palace && 22.32 km', 'Yaowarat Road && 22.34 km', 'Wat Phra Kaew && 22.35 km', 'Wat Pho Temple && 22.63 km', 'Asiatique - The Riverfront && 26.32 km']"
21,22,A-One Bangkok Hotel,"9 Soonwijai 4, New Petchburi Rd., Ratchadaphisek, Bangkok, Thailand",4.0,Airport transfer &&Free Wi-Fi in all rooms!&&Sauna&&Steamroom&&,7.0,Very good,"['Emporium Armani && 370 m', 'Bangkok Playhouse && 390 m', 'Bangkok Hospital && 440 m', 'Thong Lo Pier && 470 m', 'Chan Issara Pier && 520 m', 'Basheer && 540 m', 'Phanphirom Park && 690 m', 'Baan Don Mosque Pier && 710 m', 'Playground! && 750 m', 'House Rama RCA Cinema && 780 m']","['Terminal 21 Shopping Mall && 3.08 km', 'Central World && 5.17 km', 'Jim Thompson && 6.35 km', 'Yaowarat Road && 8.4 km', 'Wat Saket && 8.72 km', 'Khao San Road && 9.72 km', 'Wat Pho Temple && 10.19 km', 'Asiatique - The Riverfront && 10.24 km', 'Wat Phra Kaew && 10.28 km', 'Grand Palace && 10.33 km']"
22,23,Cubic Bed Pratunam,"8Fl, 21/1 Soi Phethburi 13, Rachthewi, Bangkok, Pratunam, Bangkok, Thailand, 10400",3.0,290 meters to public transportation &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&Daily housekeeping&&,7.8,Very good,"['Phayathai Plaza && 180 m', 'Krung Thong Plaza && 190 m', 'Suan Pakkad Palace && 290 m', 'Express Tailor && 290 m', 'Airport Rail Link Phayathai Station && 290 m', 'Wang Suan Phakkat Palace && 320 m', 'Club Culture && 340 m', 'Phaya Thai BTS Station && 390 m', 'Pantip Plaza IT Mall && 420 m', 'Baiyoke II Tower && 440 m']","['Central World && 1.01 km', 'Jim Thompson && 1.02 km', 'Wat Saket && 3.19 km', 'Terminal 21 Shopping Mall && 3.22 km', 'Yaowarat Road && 3.25 km', 'Khao San Road && 4.16 km', 'Wat Pho Temple && 4.77 km', 'Wat Phra Kaew && 4.8 km', 'Grand Palace && 4.84 km', 'Asiatique - The Riverfront && 6.63 km']"
23,24,Vic3 Bangkok,"89 PhahonYothin Soi 3, Phaya Thai, Chatuchak, Bangkok, Thailand, 10400",4.0,160 meters to public transportation &&Airport transfer &&Free Wi-Fi in all rooms!&&Daily housekeeping&&,8.6,Excellent,"['Sanam Pao BTS Station && 160 m', 'Phaya Thai 2 Hospital && 500 m', 'Royal Thai Army Radio and Television Channel 5 && 500 m', 'Royal Thai Riding Horse Club && 500 m', 'Ari BTS Station && 660 m', 'La Villa Ari && 670 m', 'The Seasons Mall && 680 m', 'Soi Ari && 830 m', 'Veterans General Hospital && 860 m', 'Centre One && 940 m']","['Jim Thompson && 3.17 km', 'Central World && 3.19 km', 'Wat Saket && 4.46 km', 'Terminal 21 Shopping Mall && 4.55 km', 'Khao San Road && 5.09 km', 'Yaowarat Road && 5.15 km', 'Wat Phra Kaew && 6.06 km', 'Grand Palace && 6.07 km', 'Wat Pho Temple && 6.17 km', 'Asiatique - The Riverfront && 8.88 km']"
24,25,Baiyoke Sky Hotel,"222 Ratchaprarop Road, Ratchathewi, Pratunam, Bangkok, Thailand, 10400",4.0,120 meters to public transportation &&Airport transfer &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&,8.3,Excellent,"['Baiyoke II Tower && 10 m', 'Airport Rail Link Ratchaprarob Station && 120 m', 'Indra Square && 160 m', 'Phyathai 1 Hospital && 160 m', ""Romeo & Juliet Tailor's House && 190 m"", ""Mister Singh's Fashion Gallery && 190 m"", 'Country Road Fashions && 250 m', 'Impressions Tailor && 250 m', 'Robin Tailor && 330 m', 'Lee Fashion Tailor && 360 m']","['Central World && 980 m', 'Jim Thompson && 1.42 km', 'Terminal 21 Shopping Mall && 2.89 km', 'Wat Saket && 3.63 km', 'Yaowarat Road && 3.66 km', 'Khao San Road && 4.6 km', 'Wat Pho Temple && 5.21 km', 'Wat Phra Kaew && 5.25 km', 'Grand Palace && 5.28 km', 'Asiatique - The Riverfront && 6.9 km']"
25,26,Jellybean CheQinn Hostel Sukhumvit 4,"21/10, Sukhumvit 4, Klongtoey, Sukhumvit, Bangkok, Thailand",2.5,210 meters to public transportation &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&Mini bar&&,8.0,Excellent,"['R and R Apparel International && 80 m', ""Nickermann's Tailors && 90 m"", 'Sin Bar && 110 m', 'Nana Fashions && 110 m', ""Raja's Fashions && 110 m"", 'Embassy of Sweden && 140 m', 'Paul Bespoke && 180 m', 'Rajawongse Clothier && 190 m', ""Baron's Fashions && 190 m"", 'Phu Fa && 200 m']","['Terminal 21 Shopping Mall && 800 m', 'Central World && 1.67 km', 'Jim Thompson && 2.9 km', 'Yaowarat Road && 4.74 km', 'Wat Saket && 5.29 km', 'Khao San Road && 6.35 km', 'Wat Pho Temple && 6.6 km', 'Wat Phra Kaew && 6.74 km', 'Asiatique - The Riverfront && 6.74 km', 'Grand Palace && 6.79 km']"
26,27,The Embassy Sathorn,"31 South Sathorn Road Thungmahamek, Sathorn, Bangkok, Thailand,                     ",3.0,670 meters to public transportation &&Free Wi-Fi in all rooms!&&Mini bar&&Daily housekeeping&&,7.8,Very good,"['Alliance Française Bangkok && 50 m', 'Surapon Gallery && 70 m', 'Met Bar && 70 m', 'Embassy of Singapore && 110 m', 'Embassy of Australia && 120 m', 'Banyan Tree Spa && 140 m', 'Sathorn City Tower && 240 m', 'Asia Centre && 240 m', 'Bangkok City Tower && 240 m', 'Empire Tower && 240 m']","['Central World && 2.44 km', 'Terminal 21 Shopping Mall && 2.83 km', 'Jim Thompson && 3.01 km', 'Yaowarat Road && 3.6 km', 'Asiatique - The Riverfront && 4.37 km', 'Wat Saket && 4.77 km', 'Wat Pho Temple && 5.51 km', 'Wat Phra Kaew && 5.78 km', 'Khao San Road && 5.82 km', 'Grand Palace && 5.84 km']"
27,28,Livotel Hotel Kaset Nawamin Bangkok,"333 Soi Prasert-Manukitch 2 ( Phahonyothin 34) Senanikho, Chatuchak, Bangkok, Thailand, 10900",3.5,Free Wi-Fi in all rooms!&&Blackout curtains&&Balcony/terrace&&Daily housekeeping&&,7.9,Very good,"['Fashionlicious Tours && 680 m', 'Chinese House && 720 m', 'Sarawittaya School && 1.35 km', 'Kasetsart University && 1.9 km', 'Winks && 2.02 km', 'Liab Duan Night Market && 2.53 km', 'The Government Complex && 2.79 km', 'Khlong Prem Prison && 3.01 km', 'Urban Square Prachachuen && 3.05 km', 'Rajapruk Sport Club (North Park) && 3.05 km']","['Central World && 11.43 km', 'Terminal 21 Shopping Mall && 11.61 km', 'Jim Thompson && 11.63 km', 'Wat Saket && 12.57 km', 'Khao San Road && 12.83 km', 'Yaowarat Road && 13.54 km', 'Grand Palace && 13.95 km', 'Wat Phra Kaew && 13.96 km', 'Wat Pho Temple && 14.18 km', 'Asiatique - The Riverfront && 17.34 km']"
